ID,Location,Termini,2024,2022,2019,2017,2015,2013,2011,2009,2007,2005,2002
1,CENTRAL WAY,E OF LAKE ST,11396,10840,11548,12661,13236,13305,13559,15899,15814,15679,16851
2,CENTRAL WAY,W OF LAKE ST,17213,16116,16746,17726,19700,18877,19361,17730,19704,19559,20880
3,CENTRAL WAY,E OF 3RD ST,15037,15052,15888,18540,17440,18765,20236,20361,21515,18797,21675
4,CENTRAL WAY,E OF 6TH ST,23941,22484,24702,24503,23531,25786,26032,25152,27753,27297,29476
5,CARRILLON PT.,W OF LK. WASH. BLVD.,4050,3150,4556,5350,5021,5613,5070,5947,5506,6741,6216
6,FORBES CR DR,E OF MARKET ST,1975,1729,2098,2107,2015,1850,1700,1773,1997,1936,1755
7,HOLMES POINT DR,W OF JUANITA DR,1553,1439,1781,2219,1850,1954,1684,,,,
8,HOLMES POINT DR-76TH PL,W OF JUANITA DR,2085,2021,2343,2876,2480,,,,,,
9,JUANITA DR,S OF NE 143RD ST,9282,7832,12501,13092,12912,12567,11865,,,,
10,JUANITA DR,N OF NE 141ST ST,8353,7745,9612,10801,11116,10685,10093,,,,
11,JUANITA DR,N OF NE 132ND ST,,8612,11929,12163,12007,11582,10777,,,,
12,JUANITA DR,S OF NE 132ND ST,,8157,,,,,,,,,
13,JUANITA DR,N OF NE 122ND /76TH PL,9523,8632,11296,11684,11729,11830,10388,,,,
14,JUANITA DR,S OF NE 122ND /76TH PL,9282,11111,14526,15381,15139,14780,14516,,,,
15,JUANITA DR,W OF 93RD AVE NE,15487,14205,16604,17297,17991,16923,16599,16234,17434,18064,16666
16,JUANITA DR,W OF 98TH AVE NE,15575,15067,17386,18077,18189,16927,16722,17298,17784,17890,16207
17,JUANITA-WOODINVILLE RD,N OF NE 145TH ST,19092,18842,21035,19600,19289,18863,20170,,,,
18,JUANITA-WOODINVILLE RD,S OF NE 145TH ST,10075,10074,11830,11024,11904,11033,11113,,,,
19,JUANITA-WOODINVILLE RD,SW OF 108TH AVE NE,8228,7924,9222,9069,9657,8653,8923,,,,
20,JUANITA-WOODINVILLE RD,NE OF 100TH AVE NE,8136,8005,9045,9063,9685,8889,9469,,,,
21,KIRKLAND AVE,E OF LAKE ST,4086,3350,3266,3875,4519,4828,6610,4099,4591,4605,5679
22,KIRKLAND AVE,W OF LAKE ST,2329,1990,1854,,,,,,,,
23,KIRKLAND AVE.,W OF 6TH,968,712,771,1035,1261,1140,1257,1319,1640,1324,1503
24,KIRKLAND WAY,S OF CENTRAL,9498,9942,9653,8774,9684,9641,11177,8264,8593,8736,8788
25,KIRKLAND WAY,E OF 6TH ST,5404,5441,5547,6516,7714,8208,7142,5072,5626,5042,5048
26,KIRKLAND WAY,W OF 6TH ST,7107,6789,6434,5599,5921,6070,9016,6126,6495,5991,6422
27,LAKE ST,S OF CENTRAL WAY,12048,11076,12157,12317,13295,12855,17457,13185,13738,13997,13717
28,LAKE ST,N OF LAKEVIEW DR,11760,10300,12005,12356,13147,12282,13247,12473,13802,16447,14183
29,LAKE (WA. BLVD.),S OF LAKEVIEW DR,20385,17252,21723,21559,22190,19982,21116,19859,21776,22699,22934
30,LAKE (WA. BLVD.),N OF NE 38TH PL,20961,17810,21733,22172,22836,21773,24451,22108,23149,23423,24188
31,LAKE (WA. BLVD.),S OF NE 38TH PL,20206,17765,22978,23281,21376,20912,21700,25952,25330,24477,24464
32,LAKEVIEW DR,N OF LAKE WA. BLVD,8148,7011,9423,8830,9137,8579,8370,8217,9420,8746,8576
33,MAIN ST,S OF CENTRAL WAY,2065,2054,2150,2485,2045,2612,4147,1957,1887,1786,2188
34,MARKET ST,S OF FORBES CR DR,18945,16951,19479,20396,20598,19251,19127,18887,20682,20808,19804
35,MARKET ST,N OF 7TH AVE,16592,15484,16501,16700,18351,17376,18165,17064,20347,18998,18903
36,PARK LANE,E OF LAKE ST,1360,1021,1068,1188,1350,1183,1335,1408,1540,1284,1682
37,SIMONDS RD,W OF 100TH AVE NE,17133,17080,20002,17601,19024,17234,17023,,,,
38,SIMONDS RD,N OF NE 145TH ST ST,12385,12773,15069,12599,13123,12221,12347,,,,
39,SLATER AVE,S OF NE 120TH ST,12437,11461,12947,13477,13595,14216,14656,15636,15197,16221,12578
40,SLATER AVE NE,N OF NE 124TH ST,17443,16617,20470,19067,17864,14198,14309,17244,15864,16587,13025
41,SLATER AVE NE,S OF NE 124TH ST,12336,11596,14063,14376,15057,14484,14113,16257,15096,16426,12186
42,STATE ST,S OF KIRKLAND AVE,8923,6499,8240,7903,8111,7623,8152,8112,7956,8755,9052
43,STATE ST,N OF NE 68TH ST,8000,7023,8691,8735,10015,8472,7935,7769,8219,8006,8422
44,TOTEM LAKE BLVD,W OF 120TH AVE NE,11556,11549,13285,14522,11249,11131,10611,10715,10323,9986,10675
45,TOTEM LAKE BLVD,N OF 124TH AVE NE,17006,16477,17972,14878,19088,18630,16799,17776,19339,20980,22451
46,TOTEM LAKE BLVD,N OF NE 132ND ST,3770,4817,4706,4986,4363,4535,5247,5551,5344,6080
47,TOTEM LAKE BLVD,S OF NE 132ND ST,11457,8638,9993,9919,9118,8000,8291,8092,8189,9443,10014
48,WILLOWS ROAD,N OF NE 124TH STREET,4549,4045,,,,,,,,,
49,3RD ST,N OF CENTRAL WAY,5074,4527,4178,5479,5839,5004,5772,4876,5242,5763,5566
50,3RD ST,S OF CENTRAL WAY,8361,7761,8636,10897,8897,8296,10832,,7679,10058,10470
51,3RD ST,N OF 7TH AVE,2926,2586,2830,,3177,2510,2928,2720,2916,2949,2817
52,4TH AVE,E OF 6TH ST,3419,3194,6307,4668,5742,4921,5285,4610,5667,8756,6152
53,6TH ST,N OF CENTRAL WAY,8574,7805,8326,8208,8444,7737,8347,9396,8447,8745,7468
54,6TH ST,S OF CENTRAL WAY,9080,,10301,11051,11152,10291,12002,8547,12772,12394,12538
55,6TH ST,S OF KIRKLAND WAY,7215,6508,7326,9208,9837,7738,12305,7807,7517,7942,7974
56,6TH ST,N OF 7TH AVE,5448,4571,5605,5434,4963,4288,4428,4870,5602,5003,4420
57,6TH ST S,N OF NE 68TH ST,11033,8762,11076,10938,12005,10422,10858,10279,10637,11101,11087
58,7TH AVE,E OF MARKET ST,3830,3756,3295,,,,,2102,2479,3057,2458
59,7TH AVE,E OF 4TH ST,4929,4613,5181,4865,4215,3602,3784,3439,3183,3467,3223
60,15TH AVE,E OF MARKET ST,801,,791,,,,,761,1043,976,801
61,18TH AVE,E OF MARKET ST,1522,,1903,,,,,,,,
62,NE 38TH PL,E OF LAKE WASH BLVD,2818,2675,3536,3246,3204,3052,3283,3154,4158,3609,3310
63,NE 52ND ST,E OF LAKE WASH BLVD,621,577,814,,,,,580,,693,734
64,NE 52ND ST,W OF 108TH AVE NE,771,668,1023,,,,,732,835,725,835
65,NE 52ND ST,E OF 108TH AVE NE,,711,887,,,,,423,360,386,
66,NE 53RD ST,E OF 108TH AVE NE,2278,2354,2762,,,,,2309,3021,2605,2906
67,NE 60TH ST,E OF 108TH AVE NE,957,1061,1172,,,,,795,1778,2144,983
68,NE 60TH ST,W OF 108TH AVE NE,787,783,986,,,,,797,953,915,871
69,NE 60TH ST,E OF 116TH AVE NE,,,,,,,,3196,3618,3518,3268
70,NE 60TH ST,W OF 132ND AVE NE,2734,2439,2889,,,,,2891,3001,2944,2876
71,NE 68TH ST,E OF STATE ST,10929,8576,10532,11538,11648,11209,11392,9844,10971,10951,11107
72,NE 68TH ST,W OF STATE ST,8669,7122,9147,9314,9702,9492,9039,8573,9712,9256,9037
73,NE 68TH ST,E OF 108TH AVE NE,16651,14499,17326,16441,18668,16870,17020,16876,17276,18296,18715
74,NE 68TH ST,W OF 108TH AVE NE,10929,9322,11483,12194,12798,12043,12146,11613,13256,13986,12185
75,NE 70TH ST,W OF I-405 SB OFF R,18007,19262,19555,19733,20034,18551,18890,17693,18895,19146,18890
76,NE 70TH PL,E OF 116TH AVE NE,12704,11769,13868,13876,14447,12990,13516,13910,14478,15248,16281
77,NE 70TH PL,W OF 116TH AVE NE,19329,17469,20828,20326,21457,20179,19395,19953,19267,22047,21194
78,NE 70TH ST,E OF 122ND AVE NE,12211,11564,13529,12914,14387,12516,13047,13112,14018,14631,16055
79,NE 70TH ST,W OF 122ND AVE NE,12370,11452,13259,12758,14416,13017,13152,12926,13999,14646,16381
80,NE 70TH ST,W OF 132ND AVE NE,11124,10358,12041,11393,13031,11911,11455,10823,14161,13361,13544
81,NE 70TH ST,E OF 132ND AVE NE,12101,11742,,,,,,,,,
82,NE 80TH ST,E OF 120TH AVE NE,7580,6788,8346,6983,9718,7867,6251,6572,7783,6761,7532
83,NE 80TH ST,W OF 120TH AVE NE,7242,6212,7460,6496,7695,7448,5320,5968,7300,6823,6922
84,NE 80TH ST,E OF 124TH AVE NE,5052,4820,6335,5246,8894,5727,4666,5506,6264,4699,6179
85,NE 80TH ST,W OF 132ND AVE NE,3875,3665,5037,4000,6649,3941,3292,4052,4769,4092,4900
86,NE 85TH ST,E OF 114TH AVE NE,42523,43838,42807,40051,44485,41401,44552,40743,45060,44178,44843
87,NE 85TH ST,W OF 120TH AVE NE,42030,38689,42169,43018,41026,44334,46098,44454,44957,44950,48447
88,NE 85TH ST,W OF 122ND AVE NE,,35536,,,,,,,,,
89,NE 85TH ST,E OF 124TH AVE NE,30699,27859,30711,32593,28550,33589,36181,36493,35023,38517,38523
90,NE 85TH ST,W OF 124TH AVE NE,32590,31667,34145,34004,31498,35610,37457,37100,39454,39709,41068
91,NE 85TH ST,E OF 126TH AVE NE,29449,28808,,,,,,,,,
92,NE 85TH ST,W OF 126TH AVE NE,30699,29134,,,,,,,,,
93,NE 85TH ST,E OF 132ND AVE NE,32495,30213,36066,33391,31840,34831,35682,35536,33868,38419,37274
94,NE 85TH ST,W OF 132ND AVE NE,28254,28568,30444,29652,32317,32223,33261,34389,33811,35511,36233
95,NE 87TH ST,E OF 112TH AVE,6034,6175,7042,,,,,,,,
96,NE 90TH ST,E OF 124TH AVE NE,929,822,1590,1140,2043,983,763,790,711,712,838
97,NE 90TH ST,W OF 124TH AVE NE,5954,5412,5710,5819,7706,6424,4535,4205,4759,4946,4765
98,84TH AVE NE,N OF NE 145TH ST,,,3363,,,2163,2272,,,,
99,84TH AVE NE,S OF NE 145TH ST,2743,2824,,2718,2579,2580,2830,,,,
100,84TH AVE NE,S OF NE 141ST ST,3213,,,4007,3763,3925,3855,,,,
101,84TH AVE NE,N OF NE 132ND ST,1995,2014,2331,,,,,,,,
102,84TH AVE NE,S OF NE 132ND ST,2797,1407,3509,2859,2703,2967,3174,,,,
103,84TH AVE NE,N OF NE 124TH ST,2141,1990,2536,,,,,,,,
104,88TH AVE NE,S OF NE 145TH ST,1673,1431,1714,1591,1620,1488,1608,,,,
105,90TH AVE NE,N OF NE 134TH ST,4881,3765,4793,4261,4247,4213,4547,,,,
106,92ND AVE NE,S OF SIMONDS ROAD,4000,4408,,,,,,,,,
107,93RD AVE NE,N OF JUANITA DR,1719,1518,1929,1894,1710,1612,1337,1193,1524,1666,2027
108,NE 95TH ST,E OF 124TH AVE NE,1374,1179,1418,1273,1504,1107,1039,1170,1121,1091,1108
109,NE 95TH ST,W OF 132ND AVE NE,1059,894,1170,1026,1245,792,775,1032,1015,1029,1017
110,97TH AVE NE,N OF JUANITA DR,3219,3504,3627,4340,4354,4381,4254,3520,3776,3075,2980
111,98TH AVE NE,N OF NE 116TH ST,14277,14380,16185,16390,17535,15938,14657,14572,17246,16511,15498
112,98TH AVE NE,S OF NE 116TH ST,18373,16542,20353,20487,21810,19186,18019,17557,19956,20332,19604
113,98TH AVE NE,N OF NE 120TH PL,16560,15888,18148,18336,20485,19117,17878,17017,20898,18941,17452
114,NE 100TH ST,E OF 132ND AVE NE,1342,1448,1015,976,,,,,,,
115,NE 100TH ST,W OF 132ND AVE NE,2559,2105,3011,2705,2640,2033,1995,2195,2423,2466,2602
116,NE 100TH ST,E OF 124TH AVE NE,3240,2693,3526,3107,3263,2901,2537,2794,3027,2764,2945
117,NE 100TH ST.,W OF 124TH AVE NE,728,692,977,914,830,713,691,694,825,751,869
118,100TH AVE NE,N OF NE 124TH ST,23088,22812,24155,24224,25597,25279,25124,24126,28577,26076,25012
119,100TH AVE NE,S OF NE 124TH ST,18122,18367,20803,20631,22724,20891,20601,19274,21536,20906,19537
120,100TH AVE NE,N OF NE 132ND ST,24800,25649,29319,29427,32280,29915,25631,29160,29162,29110,29284
121,100TH AVE NE,S OF NE 132ND ST,23435,21634,26398,24575,27989,25195,25903,24689,28246,25754,25409
122,100TH AVE NE,N OF SIMONDS RD,14632,14933,17772,16525,17217,16149,16405,,,,
123,100TH AVE NE,S OF SIMONDS RD,16417,16201,18786,18973,19158,18493,16538,,,,
124,100TH AVE NE,N OF 145TH ST,11607,10495,12061,11604,12859,10948,9964,,,,
125,103RD AVE NE,N OF NE 124TH ST,,553,,,,,,,,,
126,103RD/104TH AVE NE,S OF NE 124TH ST,928,1196,,,,,,,,,
127,NE 104TH ST,E OF 124TH AVE NE,1127,866,907,1021,1086,1102,1004,956,889,919,807
128,104TH AVE NE,N OF NE 116TH ST,918,863,1065,969,981,919,915,1056,969,961,1172
129,108TH AVE NE,N OF CITY LIMITS,8584,6928,10122,9605,9351,7986,8732,10036,9278,9750,8915
130,108TH AVE NE,N OF NE 53RD ST,,,11971,10196,11561,8965,9532,10564,11591,11073,11212
131,108TH AVE NE,S OF NE 53RD ST,10223,7906,11622,9903,10695,9415,8851,9774,10818,10321,10512
132,108TH AVE NE,S OF NE 60TH ST,12665,9040,13217,,,,,,,,
133,108TH AVE NE,N OF NE 60TH ST,10386,9026,12225,10175,11816,9398,9890,11242,12199,11111,12053
134,108TH AVE NE,S OF NE 68TH ST,10785,9285,12563,10591,12147,9743,10188,11276,12698,12072,12842
135,108TH AVE NE,S OF NE 116TH ST,1379,1288,1336,1057,1208,1064,943,958,1210,1116,1491
136,108TH AVE NE,N OF NE 132ND ST,4509,3905,5105,4481,4894,4257,4807,4812,4860,5460,5288
137,108TH AVE NE,S OF JUANITA WOOD.,2430,2288,3096,2769,2880,,,,,,
138,111TH LANE NE,N OF NE 124TH STREET,,1489,,,,,,,,,
